year,race,asfr1014,asfr1519,asfr2024,asfr2529,asfr3034,asfr3539,asfr4044,asfr4549
1993,non-hispanic white,0.5,40.7,92.2,108.2,79,31,5.4,0.2
1994,non-hispanic white,0.5,40.4,90.9,106.6,80.2,32,5.7,0.2
1995,non-hispanic white,0.4,39.3,90.2,105.1,81.5,32.8,5.9,0.3
1996,non-hispanic white,0.4,37.6,90.1,104.9,82.8,33.9,6.2,0.3
1997,non-hispanic white,0.4,36,90,104.8,84.3,34.8,6.5,0.3
1998,non-hispanic white,0.3,35.3,91.2,107.4,87.2,36.4,6.8,0.4
1999,non-hispanic white,0.3,34.1,90.6,108.6,89.5,37.3,6.9,0.4
2000,non-hispanic white,0.3,32.6,91.2,109.4,93.2,38.8,7.3,0.4
2001,non-hispanic white,0.3,30.3,87,109.6,94.3,39.8,7.5,0.4
2002,non-hispanic white,0.2,28.6,84.7,110.4,95,40.9,7.7,0.5
2003,non-hispanic white,0.2,27.4,84.1,112.7,98.4,43.5,8.1,0.5
2004,non-hispanic white,0.2,26.7,83,112.1,98.3,45.1,8.3,0.5
2005,non-hispanic white,0.2,26,82.7,111.7,98.4,46,8.3,0.5
2006,non-hispanic white,0.2,26.7,85.1,112.2,100,46.8,8.5,0.6
2007,non-hispanic white,0.2,27.2,85.1,112,101.5,46.3,8.7,0.6
2008,non-hispanic white,0.2,26.7,82.8,109.7,100.8,45.2,8.9,0.6
2009,non-hispanic white,0.2,25.7,79.2,107.1,99.7,44.4,9.1,0.6
2010,non-hispanic white,0.2,23.5,74.9,105.8,99.9,44.1,9.2,0.6
2011,non-hispanic white,0.2,21.7,71.8,105.2,100.1,45.8,9.3,0.6
2012,non-hispanic white,0.2,20.5,70.2,104.4,100.5,46.8,9.1,0.6
2013,non-hispanic white,0.1,18.6,68.3,103.5,101.9,48,9.1,0.7
2014,non-hispanic white,0.1,17.3,67.1,103.9,104.7,49.6,9.1,0.7
2015,non-hispanic white,0.1,16,65,102.3,105.1,50.6,9.4,0.7
2016,non-hispanic white,0.1,14.4,62.5,99.1,106,51,9.8,0.7
2017,non-hispanic white,0.1,13.4,59.9,95.1,103.4,50.6,10,0.7
2018,non-hispanic white,0.1,12.2,57.9,92.7,102.8,51.1,10.2,0.7
2019,non-hispanic white,0.1,11.5,56.2,90.5,101.1,51,10.4,0.8
1993,non-hispanic black,4.6,110.5,154.5,109.2,68.1,29.4,5.9,0.3
1994,non-hispanic black,4.6,105.7,146.8,104.1,66.3,29.1,6,0.3
1995,non-hispanic black,4.2,97.2,137.8,98.5,64.4,28.8,6.1,0.3
1996,non-hispanic black,3.6,91.9,137,96.7,63.2,29.1,6.2,0.3
1997,non-hispanic black,3.2,88.3,138.8,97.2,63.6,29.6,6.5,0.3
1998,non-hispanic black,2.9,85.7,142.5,99.9,64.4,30.4,6.7,0.3
1999,non-hispanic black,2.6,81,142.1,99.8,63.9,30.6,6.5,0.3
2000,non-hispanic black,2.4,79.2,145.4,102.8,66.5,31.8,7.2,0.4
2001,non-hispanic black,2.1,73.1,137.3,102.8,66.4,32,7.3,0.4
2002,non-hispanic black,1.9,67.7,131.4,103.1,66.5,32.1,7.5,0.4
2003,non-hispanic black,1.6,63.8,128.8,104,67.7,33.4,7.7,0.5
2004,non-hispanic black,1.6,61.9,127.9,105,67.8,33.6,7.8,0.5
2005,non-hispanic black,1.6,59.4,127.9,105.5,68.8,34.2,8.2,0.5
2006,non-hispanic black,1.5,61.9,134.4,110,73.2,35.9,8.3,0.5
2007,non-hispanic black,1.4,62,134.5,110.5,74.7,36.2,8.5,0.6
2008,non-hispanic black,1.4,60.4,131.6,108.8,75.3,36.3,8.7,0.6
2009,non-hispanic black,1.1,56.8,125.9,106,73.9,36.1,8.9,0.6
2010,non-hispanic black,1,51.5,119.4,102.5,73.6,36.4,9.2,0.7
2011,non-hispanic black,0.9,47.3,112.3,101.7,73.9,37.8,9.3,0.7
2012,non-hispanic black,0.8,43.9,109,101.7,75.1,38.9,9.6,0.7
2013,non-hispanic black,0.7,39,105.6,102.7,77.3,40.3,9.9,0.8
2014,non-hispanic black,0.6,34.9,102.8,103.3,79.6,42.5,10.1,0.9
2015,non-hispanic black,0.6,31.8,100.2,102,81.6,43.6,10.7,0.9
2016,non-hispanic black,0.5,29.3,95.7,100.7,82.9,45,11.1,1
2017,non-hispanic black,0.4,27.6,94.2,99.5,84.3,46.1,11.7,1
2018,non-hispanic black,0.4,26.2,90,97,84,47.1,12.3,1.1
2019,non-hispanic black,0.4,25.8,88.5,96.4,82.8,47.7,12.6,1.1
1993,american indian or alaska native,1.4,79.8,134.2,103.5,59.5,25.5,5.6,*
1994,american indian or alaska native,1.8,76.4,126.5,98.2,56.6,24.8,5.4,0.3
1995,american indian or alaska native,1.6,72.9,123.1,91.6,56.5,24.3,5.5,*
1996,american indian or alaska native,1.6,68.2,123.5,91.1,56.5,24.4,5.5,*
1997,american indian or alaska native,1.5,65.2,122.5,91.6,56,24.4,5.4,0.3
1998,american indian or alaska native,1.5,64.7,125.1,92,56.8,24.6,5.3,*
1999,american indian or alaska native,1.4,59.9,120.7,90.6,53.8,24.3,5.7,0.3
2000,american indian or alaska native,1.1,58.3,117.2,91.8,55.5,24.6,5.7,0.3
2001,american indian or alaska native,0.9,54.5,113.8,89.2,54.2,24,5.6,0.3
2002,american indian or alaska native,0.8,50.9,110.7,88.9,53.7,24.1,5.7,0.3
2003,american indian or alaska native,0.9,49,107,89.3,52.8,23.3,5.2,0.4
2004,american indian or alaska native,0.8,47.2,105.4,87.1,51.9,23.9,5.6,0.2
2005,american indian or alaska native,0.8,46,102.9,86.3,51.8,23.3,5.4,0.3
2006,american indian or alaska native,0.7,46.9,106.8,89,52,23.9,5.4,0.3
2007,american indian or alaska native,0.7,49.3,105.8,86.2,52.5,24.3,5.2,0.3
2008,american indian or alaska native,0.7,47.3,102.7,83.2,51.2,23.1,5.3,0.3
2009,american indian or alaska native,0.6,43.7,96.3,79.3,50.7,22.6,5.3,0.3
