year,age,births,women
1933,12,47,1237992
1933,13,532,1216487
1933,14,2121,1197058
1933,15,7945,1182136
1933,16,21998,1173011
1933,17,44931,1168280
1933,18,76672,1164102
1933,19,101004,1158502
1933,20,116659,1150966
1933,21,121380,1140891
1933,22,128077,1128568
1933,23,131426,1115221
1933,24,126385,1101246
1933,25,123613,1085513
1933,26,116037,1067248
1933,27,105952,1047144
1933,28,105564,1026540
1933,29,91491,1006096
1933,30,88836,986088
1933,31,67102,966776
1933,32,74073,948039
1933,33,70737,929038
1933,34,54746,910424
1933,35,53854,896155
1933,36,48169,889405
1933,37,42181,888491
1933,38,42304,889695
1933,39,33137,889793
1933,40,27195,883395
1933,41,17031,866012
1933,42,15764,839716
1933,43,10395,810069
1933,44,6307,780283
1933,45,3956,752577
1933,46,1785,728736
1933,47,898,707847
1933,48,555,687337
1933,49,248,666256
1933,50,57,645113
1933,51,17,624381
1933,52,17,604184
1933,53,19,584527
1933,54,14,565069
1933,55,0,544856
1934,12,19,1245487
1934,13,499,1235983
1934,14,2407,1215400
1934,15,8551,1196378
1934,16,23525,1181440
1934,17,47615,1172126
1934,18,81196,1167072
1934,19,106433,1162537
1934,20,124319,1156606
1934,21,129751,1148605
1934,22,134341,1137802
1934,23,135327,1124537
1934,24,135536,1110204
1934,25,126338,1095198
1934,26,122962,1078706
1934,27,111203,1060377
1934,28,109866,1040938
1934,29,96847,1021282
1934,30,93469,1001804
1934,31,71133,982651
1934,32,72688,963863
1934,33,66103,945233
1934,34,67126,926144
1934,35,51513,907504
1934,36,48236,893026
1934,37,41357,885604
1934,38,42139,883561
1934,39,33153,883483
1934,40,26682,882203
1934,41,17174,874700
1934,42,16065,857032
1934,43,10266,831313
1934,44,6334,802536
1934,45,3796,773706
1934,46,1807,746691
1934,47,884,722851
1934,48,608,701213
1934,49,254,679703
1934,50,74,657640
1934,51,15,635655
1934,52,12,614479
1934,53,5,594265
1934,54,6,574774
1934,55,0,555459
1935,12,29,1237112
1935,13,548,1243973
1935,14,2584,1234056
1935,15,9378,1214443
1935,16,24466,1195884
1935,17,48510,1180926
1935,18,81449,1171398
