year,age,female_pop,male_pop,total_pop,female_deaths,male_deaths,total_deaths
1933,0,984472.26,1015361.55,1999833.81,52615.77,68438.11,121053.88
1933,1,1040496.02,1064088.29,2104584.31,8917.13,10329.16,19246.29
1933,2,1093043.81,1117527.14,2210570.95,4336.92,5140.05,9476.97
1933,3,1107994.31,1135046.59,2243040.9,3161.59,3759.88,6921.47
1933,4,1130624.43,1179513.62,2310138.05,2493.84,2932.59,5426.43
1933,5,1168930.56,1228225.14,2397155.7,2139.87,2537.53,4677.4
1933,6,1190706.56,1238800.33,2429506.89,1939.7,2337.76,4277.46
1933,7,1203816.58,1245575.51,2449392.09,1760.47,2163.9,3924.37
1933,8,1224285.2,1255721.28,2480006.48,1602.2,2015.97,3618.17
1933,9,1230968.73,1254639.67,2485608.4,1464.88,1893.96,3358.84
1933,10,1243608.1,1262739.94,2506348.04,1357.91,1805.52,3163.43
1933,11,1249850.28,1267993.62,2517843.9,1318.9,1781.24,3100.14
1933,12,1228302.26,1245293.97,2473596.23,1357.26,1828.76,3186.02
1933,13,1206337.89,1218516.85,2424854.74,1472.99,1948.1,3421.09
1933,14,1188784.61,1197005.32,2385789.93,1666.09,2139.25,3805.34
1933,15,1176488.92,1180812.04,2357300.96,1923.01,2388.83,4311.84
1933,16,1170673.13,1170300.59,2340973.72,2189.59,2643.37,4832.96
1933,17,1167275.44,1161957.37,2329232.81,2452.27,2889.52,5341.79
1933,18,1162654.19,1152703.87,2315358.06,2711.06,3127.25,5838.31
1933,19,1156408.23,1142105.21,2298513.44,2965.97,3356.57,6322.54
1933,20,1147875.3,1129141.23,2277016.53,3209.73,3570.47,6780.2
1933,21,1136672,1113535.47,2250207.47,3413.35,3740.8,7154.15
1933,22,1123857.96,1096584.79,2220442.75,3569.58,3860.55,7430.13
1933,23,1110709.37,1079680.91,2190390.28,3678.44,3929.71,7608.15
1933,24,1096608.03,1062812.95,2159420.98,3739.9,3948.29,7688.19
1933,25,1079965.15,1045562.6,2125527.75,3761.01,3928.04,7689.05
1933,26,1060496.39,1027992.05,2088488.44,3769.97,3915.97,7685.94
1933,27,1039616.1,1010508.45,2050124.55,3773.81,3923.84,7697.65
1933,28,1018693.99,993583.66,2012277.65,3772.51,3951.64,7724.15
1933,29,998073.52,977303.7,1975377.22,3766.1,3999.39,7765.49
1933,30,978027.71,961582.96,1939610.67,3761.75,4070.24,7831.99
1933,31,958912.65,946540.27,1905452.92,3788.15,4176.88,7965.03
1933,32,940299.53,932086.07,1872385.6,3852.49,4322.47,8174.96
1933,33,920939.68,917262.4,1838202.08,3954.75,4507.02,8461.77
1933,34,903171.39,904394.37,1807565.76,4094.95,4730.51,8825.46
1933,35,892446.19,898986.17,1791432.36,4263.27,4986.16,9249.43
1933,36,889940.52,902123.05,1792063.57,4420.51,5246.75,9667.26
1933,37,891248.73,909205.25,1800453.98,4556.85,5505.47,10062.32
1933,38,893244.22,916838.05,1810082.27,4672.29,5762.35,10434.64
1933,39,892355.5,921491.37,1813846.87,4766.83,6017.36,10784.19
1933,40,881428.19,916325.4,1797753.59,4847.79,6273.76,11121.55
1933,41,858248.86,899079.39,1757328.25,4944.4,6544.53,11488.93
1933,42,828830.48,875488.71,1704319.19,5064.01,6832.9,11896.91
1933,43,798425.74,850676.32,1649102.06,5206.58,7138.91,12345.49
1933,44,768700.87,825753.84,1594454.71,5372.12,7462.52,12834.64
1933,45,742409.96,802387.28,1544797.24,5558.88,7800.95,13359.83
1933,46,720698.67,781340.15,1502038.82,5759.77,8143.05,13902.82
1933,47,700887.74,760812.69,1461700.43,5973.03,8486.01,14459.04
