state,name_state,mun,name_mun,population,index_raw,grade,index_norm,index_rank
01,Aguascalientes,01001,Aguascalientes,948990,60.31879504,1 Very low,0.944508383,2435
01,Aguascalientes,01002,Asientos,51536,56.54607102,1 Very low,0.885432776,1816
01,Aguascalientes,01003,Calvillo,58250,57.05825094,1 Very low,0.8934528,1932
01,Aguascalientes,01004,Cosío,17000,57.1140301,1 Very low,0.894326224,1948
01,Aguascalientes,01005,Jesús María,129929,59.0117617,1 Very low,0.92404206,2323
01,Aguascalientes,01006,Pabellón de Arteaga,47646,58.62476783,1 Very low,0.917982275,2265
01,Aguascalientes,01007,Rincón de Romos,57369,57.64667135,1 Very low,0.902666645,2076
01,Aguascalientes,01008,San José de Gracia,9552,57.52753056,1 Very low,0.900801066,2048
01,Aguascalientes,01009,Tepezalá,22485,56.60431438,1 Very low,0.886344786,1833
01,Aguascalientes,01010,El Llano,20853,56.55579422,1 Very low,0.885585027,1819
01,Aguascalientes,01011,San Francisco de los Romo,61997,58.55209783,1 Very low,0.916844364,2252
02,Baja California,02001,Ensenada,443807,58.08223757,1 Very low,0.909487006,2171
02,Baja California,02002,Mexicali,1049792,59.38498909,1 Very low,0.929886282,2356
02,Baja California,02003,Tecate,108440,58.39007744,1 Very low,0.91430735,2229
02,Baja California,02004,Tijuana,1922523,59.14028682,1 Very low,0.926054585,2336
02,Baja California,02005,Playas de Rosarito,126890,58.29141747,1 Very low,0.912762472,2208
02,Baja California,02006,San Quintín,117568,53.39904001,3 Medium,0.83615465,982
03,Baja California Sur,03001,Comondú,73021,58.26382283,1 Very low,0.912330378,2199
03,Baja California Sur,03002,Mulegé,64022,57.49256731,1 Very low,0.90025359,2040
03,Baja California Sur,03003,La Paz,292241,59.8532531,1 Very low,0.937218644,2402
03,Baja California Sur,03008,Los Cabos,351111,58.73572701,1 Very low,0.919719741,2285
03,Baja California Sur,03009,Loreto,18052,58.8193123,1 Very low,0.92102857,2302
04,Campeche,04001,Calkiní,59232,55.38128192,2 Low,0.867193799,1488
04,Campeche,04002,Campeche,294077,58.64070104,1 Very low,0.918231766,2270
04,Campeche,04003,Carmen,248845,58.09508328,1 Very low,0.909688152,2176
04,Campeche,04004,Champotón,78170,54.83259891,2 Low,0.858602187,1341
04,Campeche,04005,Hecelchakán,31917,55.68600466,2 Low,0.871965333,1572
04,Campeche,04006,Hopelchén,42140,53.60265142,3 Medium,0.839342921,1033
04,Campeche,04007,Palizada,8683,52.76030203,3 Medium,0.826152902,816
04,Campeche,04008,Tenabo,11452,55.18200785,2 Low,0.864073445,1439
04,Campeche,04009,Escárcega,59923,54.89029564,2 Low,0.859505638,1360
04,Campeche,04010,Calakmul,31714,50.70937161,4 High,0.794038186,437
04,Campeche,04011,Candelaria,46913,50.51393634,4 High,0.790977942,402
04,Campeche,04012,Seybaplaya,15297,55.87833198,2 Low,0.874976911,1625
05,Coahuila de Zaragoza,05001,Abasolo,1022,57.82014772,1 Very low,0.905383044,2123
05,Coahuila de Zaragoza,05002,Acuña,163058,58.48171229,1 Very low,0.915742224,2239
05,Coahuila de Zaragoza,05003,Allende,23056,59.793829,1 Very low,0.936288145,2400
05,Coahuila de Zaragoza,05004,Arteaga,29578,58.04498696,1 Very low,0.908903713,2168
05,Coahuila de Zaragoza,05005,Candela,1643,55.91949173,2 Low,0.875621416,1634
05,Coahuila de Zaragoza,05006,Castaños,29128,59.31062396,1 Very low,0.928721827,2353
05,Coahuila de Zaragoza,05007,Cuatro Ciénegas,12715,57.22051435,1 Very low,0.895993619,1971
05,Coahuila de Zaragoza,05008,Escobedo,3047,56.44349392,2 Low,0.883826561,1782
05,Coahuila de Zaragoza,05009,Francisco I. Madero,59035,57.82467348,1 Very low,0.905453911,2125
05,Coahuila de Zaragoza,05010,Frontera,82409,60.08427096,1 Very low,0.940836062,2422
05,Coahuila de Zaragoza,05011,General Cepeda,11898,57.12100159,1 Very low,0.894435388,1951
05,Coahuila de Zaragoza,05012,Guerrero,1643,55.6679088,2 Low,0.871681977,1565
05,Coahuila de Zaragoza,05013,Hidalgo,1735,56.07160908,2 Low,0.878003362,1673
05,Coahuila de Zaragoza,05014,Jiménez,9502,55.40321239,2 Low,0.8675372,1497
05,Coahuila de Zaragoza,05015,Juárez,1584,56.67700261,1 Very low,0.887482982,1848
05,Coahuila de Zaragoza,05016,Lamadrid,1764,57.32618556,1 Very low,0.897648284,1994
05,Coahuila de Zaragoza,05017,Matamoros,118337,58.18040041,1 Very low,0.911024099,2186
05,Coahuila de Zaragoza,05018,Monclova,237951,60.47683006,1 Very low,0.946982992,2444
05,Coahuila de Zaragoza,05019,Morelos,7928,59.4673507,1 Very low,0.93117595,2364
05,Coahuila de Zaragoza,05020,Múzquiz,71627,58.90496136,1 Very low,0.922369715,2311
05,Coahuila de Zaragoza,05021,Nadadores,6539,57.75279376,1 Very low,0.904328374,2109
05,Coahuila de Zaragoza,05022,Nava,33129,58.95548212,1 Very low,0.9231608,2315
05,Coahuila de Zaragoza,05023,Ocampo,9642,55.12789598,2 Low,0.863226128,1435
05,Coahuila de Zaragoza,05024,Parras,44472,57.94772979,1 Very low,0.907380801,2151
05,Coahuila de Zaragoza,05025,Piedras Negras,176327,59.27275589,1 Very low,0.928128866,2347
05,Coahuila de Zaragoza,05026,Progreso,3239,56.46383023,2 Low,0.884144999,1789
05,Coahuila de Zaragoza,05027,Ramos Arizpe,122243,60.16500884,1 Very low,0.942100305,2430
05,Coahuila de Zaragoza,05028,Sabinas,64811,59.75115203,1 Very low,0.935619884,2391
05,Coahuila de Zaragoza,05029,Sacramento,2471,57.44330736,1 Very low,0.899482248,2031
05,Coahuila de Zaragoza,05030,Saltillo,879958,60.73750406,1 Very low,0.951064784,2455
05,Coahuila de Zaragoza,05031,San Buenaventura,24759,59.96137059,1 Very low,0.938911614,2415
05,Coahuila de Zaragoza,05032,San Juan de Sabinas,42260,59.75798866,1 Very low,0.935726936,2395
05,Coahuila de Zaragoza,05033,San Pedro,101041,57.05940654,1 Very low,0.893470895,1934
05,Coahuila de Zaragoza,05034,Sierra Mojada,6744,57.90453745,1 Very low,0.906704469,2143
05,Coahuila de Zaragoza,05035,Torreón,720848,60.28842072,1 Very low,0.944032764,2433
05,Coahuila de Zaragoza,05036,Viesca,20305,54.85882923,2 Low,0.859012917,1351
05,Coahuila de Zaragoza,05037,Villa Unión,6188,58.33770082,1 Very low,0.913487205,2215
05,Coahuila de Zaragoza,05038,Zaragoza,13135,57.76823328,1 Very low,0.904570136,2111
06,Colima,06001,Armería,27626,56.40592374,2 Low,0.883238264,1771
06,Colima,06002,Colima,157048,59.77117554,1 Very low,0.935933424,2397
06,Colima,06003,Comala,21661,57.1625072,1 Very low,0.895085308,1957
06,Colima,06004,Coquimatlán,20837,57.12519163,1 Very low,0.894500998,1952
06,Colima,06005,Cuauhtémoc,31267,58.17007844,1 Very low,0.910862472,2185
06,Colima,06006,Ixtlahuacán,5623,55.02897602,2 Low,0.861677179,1398
06,Colima,06007,Manzanillo,191031,59.754741,1 Very low,0.935676082,2392
06,Colima,06008,Minatitlán,10231,57.38053299,1 Very low,0.898499289,2012
06,Colima,06009,Tecomán,116305,57.19542163,1 Very low,0.895600702,1965
06,Colima,06010,Villa de Álvarez,149762,60.51209222,1 Very low,0.947535148,2447
07,Chiapas,07001,Acacoyagua,17994,53.29079047,3 Medium,0.834459613,952
07,Chiapas,07002,Acala,21187,53.30094969,3 Medium,0.834618692,957
07,Chiapas,07003,Acapetahua,26899,52.1499493,4 High,0.816595628,686
07,Chiapas,07004,Altamirano,36160,49.78406614,4 High,0.77954919,322
07,Chiapas,07005,Amatán,24512,48.75932508,4 High,0.763503171,208
07,Chiapas,07006,Amatenango de la Frontera,31735,52.22960123,4 High,0.817842866,706
07,Chiapas,07007,Amatenango del Valle,11283,45.9819462,5 Very high,0.720013283,80
07,Chiapas,07008,Ángel Albino Corzo,31947,51.54725808,4 High,0.807158322,561
07,Chiapas,07009,Arriaga,41135,54.57933519,3 Medium,0.85463643,1282
07,Chiapas,07010,Bejucal de Ocampo,7365,49.77566979,4 High,0.779417715,318
07,Chiapas,07011,Bella Vista,20157,51.50977904,4 High,0.806571452,556
07,Chiapas,07012,Berriozábal,64632,53.29881139,3 Medium,0.834585209,956
07,Chiapas,07013,Bochil,37263,52.02246674,4 High,0.814599428,650
07,Chiapas,07014,El Bosque,24273,50.09444703,4 High,0.784409323,359
07,Chiapas,07015,Cacahoatán,50112,54.57507319,3 Medium,0.854569693,1280
07,Chiapas,07016,Catazajá,17619,52.12988069,4 High,0.816281381,682
07,Chiapas,07017,Cintalapa,88106,53.77992517,3 Medium,0.842118781,1081
07,Chiapas,07018,Coapilla,9900,52.26514583,4 High,0.818399445,718
07,Chiapas,07019,Comitán de Domínguez,166178,54.96832559,2 Low,0.860727478,1377
07,Chiapas,07020,La Concordia,49920,50.34527378,4 High,0.788336921,388
07,Chiapas,07021,Copainalá,22192,53.17864713,3 Medium,0.832703604,924
07,Chiapas,07022,Chalchihuitán,21915,37.80694596,5 Very high,0.592004157,10
07,Chiapas,07023,Chamula,101967,46.32784658,5 Very high,0.725429602,87
07,Chiapas,07024,Chanal,13678,46.43788361,5 Very high,0.727152629,92
07,Chiapas,07025,Chapultenango,7472,51.50449247,4 High,0.806488672,553
07,Chiapas,07026,Chenalhó,47371,45.42930806,5 Very high,0.711359739,62
07,Chiapas,07027,Chiapa de Corzo,112075,55.03709267,2 Low,0.861804275,1402
07,Chiapas,07028,Chiapilla,6156,51.66518836,4 High,0.809004946,580
07,Chiapas,07029,Chicoasén,5402,53.41113384,3 Medium,0.836344022,985
07,Chiapas,07030,Chicomuselo,36785,50.6852195,4 High,0.793659998,428
07,Chiapas,07031,Chilón,137262,45.2557776,5 Very high,0.708642494,59
07,Chiapas,07032,Escuintla,30896,52.58200176,4 High,0.823360968,782
07,Chiapas,07033,Francisco León,7245,49.97405719,4 High,0.782524185,347
07,Chiapas,07034,Frontera Comalapa,80897,53.31064612,3 Medium,0.834770524,962
07,Chiapas,07035,Frontera Hidalgo,14556,52.33290332,4 High,0.819460433,729
07,Chiapas,07036,La Grandeza,7701,52.05993739,4 High,0.815186166,659
